45,"CPU(brand='AMD', model='A6-6420K', cores=2, base_clock=ClockSpeed(cycles=4000000000), boost_clock=ClockSpeed(cycles=4200000000), tdp=65, integrated_graphics='Radeon HD 8000 Series', multithreading=False, price=<Money: 0.00 USD>)"
46,"CPU(brand='AMD', model='A6-7400K', cores=2, base_clock=ClockSpeed(cycles=3500000000), boost_clock=ClockSpeed(cycles=3900000000), tdp=65, integrated_graphics='Radeon R5 (on die)', multithreading=False, price=<Money: 0.00 USD>)"
47,"CPU(brand='AMD', model='A6-7470K', cores=2, base_clock=ClockSpeed(cycles=3700000000), boost_clock=ClockSpeed(cycles=4000000000), tdp=65, integrated_graphics='Radeon R5 (on die)', multithreading=False, price=<Money: 0.00 USD>)"
48,"CPU(brand='AMD', model='A6-7470K', cores=2, base_clock=ClockSpeed(cycles=3700000000), boost_clock=ClockSpeed(cycles=4000000000), tdp=65, integrated_graphics='Radeon R5 (on die)', multithreading=False, price=<Money: 105.27 USD>)"
49,"CPU(brand='AMD', model='A6-7480', cores=2, base_clock=ClockSpeed(cycles=3500000000), boost_clock=ClockSpeed(cycles=3800000000), tdp=65, integrated_graphics='Radeon R5 (on die)', multithreading=False, price=<Money: 144.00 USD>)"
50,"CPU(brand='AMD', model='A6-9500', cores=2, base_clock=ClockSpeed(cycles=3500000000), boost_clock=ClockSpeed(cycles=3800000000), tdp=65, integrated_graphics='Radeon R5 (on die)', multithreading=False, price=<Money: 161.00 USD>)"
51,"CPU(brand='AMD', model='A6-9500E', cores=2, base_clock=ClockSpeed(cycles=3000000000), boost_clock=ClockSpeed(cycles=3400000000), tdp=35, integrated_graphics='Radeon R5 (on die)', multithreading=False, price=<Money: 196.87 USD>)"
52,"CPU(brand='AMD', model='A6-9550', cores=2, base_clock=ClockSpeed(cycles=3800000000), boost_clock=ClockSpeed(cycles=4000000000), tdp=65, integrated_graphics='Radeon R5 (on die)', multithreading=False, price=<Money: 0.00 USD>)"
53,"CPU(brand='AMD', model='A8-3850', cores=4, base_clock=ClockSpeed(cycles=2900000000), boost_clock=None, tdp=100, integrated_graphics='Radeon HD 6550D', multithreading=False, price=<Money: 0.00 USD>)"
54,"CPU(brand='AMD', model='A8-3870K', cores=4, base_clock=ClockSpeed(cycles=3000000000), boost_clock=None, tdp=100, integrated_graphics='Radeon HD 6550D', multithreading=False, price=<Money: 0.00 USD>)"
55,"CPU(brand='AMD', model='A8-5500', cores=4, base_clock=ClockSpeed(cycles=3200000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 7560D', multithreading=False, price=<Money: 0.00 USD>)"
56,"CPU(brand='AMD', model='A8-5600K', cores=4, base_clock=ClockSpeed(cycles=3600000000), boost_clock=None, tdp=100, integrated_graphics='Radeon HD 7560D', multithreading=False, price=<Money: 0.00 USD>)"
57,"CPU(brand='AMD', model='A8-6500', cores=4, base_clock=ClockSpeed(cycles=3500000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 8570D', multithreading=False, price=<Money: 311.66 USD>)"
58,"CPU(brand='AMD', model='A8-6600K', cores=4, base_clock=ClockSpeed(cycles=3900000000), boost_clock=None, tdp=100, integrated_graphics='Radeon HD 8570D', multithreading=False, price=<Money: 0.00 USD>)"
59,"CPU(brand='AMD', model='A8-7600', cores=4, base_clock=ClockSpeed(cycles=3100000000), boost_clock=ClockSpeed(cycles=3800000000), tdp=65, integrated_graphics='Radeon R7 (on-die)', multithreading=False, price=<Money: 0.00 USD>)"
60,"CPU(brand='AMD', model='A8-7650K', cores=4, base_clock=ClockSpeed(cycles=3300000000), boost_clock=ClockSpeed(cycles=3700000000), tdp=95, integrated_graphics='Radeon R7 (on-die)', multithreading=False, price=<Money: 0.00 USD>)"
61,"CPU(brand='AMD', model='A8-7670K', cores=4, base_clock=ClockSpeed(cycles=3600000000), boost_clock=ClockSpeed(cycles=3900000000), tdp=95, integrated_graphics='Radeon R7 (on-die)', multithreading=False, price=<Money: 0.00 USD>)"
62,"CPU(brand='AMD', model='A8-7680', cores=4, base_clock=ClockSpeed(cycles=3500000000), boost_clock=ClockSpeed(cycles=3800000000), tdp=65, integrated_graphics='Radeon R7 (on-die)', multithreading=False, price=<Money: 0.00 USD>)"
